[2026-01-22T18:29:49.709+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021503.1 already exists. Skipping.
[2026-01-22T18:29:49.830+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021601.1 already exists. Skipping.
[2026-01-22T18:29:50.020+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021602.1 already exists. Skipping.
[2026-01-22T18:29:50.233+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021603.1 already exists. Skipping.
[2026-01-22T18:29:50.346+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021701.1 already exists. Skipping.
[2026-01-22T18:29:50.422+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021702.1 already exists. Skipping.
[2026-01-22T18:29:50.541+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021703.1 already exists. Skipping.
[2026-01-22T18:29:50.724+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021801.1 already exists. Skipping.
[2026-01-22T18:29:50.907+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021802.1 already exists. Skipping.
[2026-01-22T18:29:50.973+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021803.1 already exists. Skipping.
[2026-01-22T18:29:51.022+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021901.1 already exists. Skipping.
[2026-01-22T18:29:51.116+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021902.1 already exists. Skipping.
[2026-01-22T18:29:51.136+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021903.1 already exists. Skipping.
[2026-01-22T18:29:51.197+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022001.1 already exists. Skipping.
[2026-01-22T18:29:51.213+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022002.1 already exists. Skipping.
[2026-01-22T18:29:51.256+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022003.1 already exists. Skipping.
[2026-01-22T18:29:51.307+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022101.1 already exists. Skipping.
[2026-01-22T18:29:51.339+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022102.1 already exists. Skipping.
[2026-01-22T18:29:51.375+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022103.1 already exists. Skipping.
[2026-01-22T18:29:51.385+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022201.1 already exists. Skipping.
[2026-01-22T18:29:51.412+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022202.1 already exists. Skipping.
[2026-01-22T18:29:51.432+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022203.1 already exists. Skipping.
[2026-01-22T18:29:51.450+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022301.1 already exists. Skipping.
[2026-01-22T18:29:51.477+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022302.1 already exists. Skipping.
