[2026-01-23T16:09:48.988+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250503.1 already exists. Skipping download.
[2026-01-23T16:09:49.003+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250504.1 already exists. Skipping download.
[2026-01-23T16:09:49.013+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250505.1 already exists. Skipping download.
[2026-01-23T16:09:49.029+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250506.1 already exists. Skipping download.
[2026-01-23T16:09:49.038+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250507.1 already exists. Skipping download.
[2026-01-23T16:09:49.043+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250508.1 already exists. Skipping download.
[2026-01-23T16:09:49.049+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250509.1 already exists. Skipping download.
[2026-01-23T16:09:49.059+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250510.1 already exists. Skipping download.
[2026-01-23T16:09:49.065+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250511.1 already exists. Skipping download.
[2026-01-23T16:09:49.079+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250512.1 already exists. Skipping download.
[2026-01-23T16:09:49.094+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250513.1 already exists. Skipping download.
[2026-01-23T16:09:49.161+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250514.1 already exists. Skipping download.
[2026-01-23T16:09:49.223+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250515.1 already exists. Skipping download.
[2026-01-23T16:09:49.246+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250516.1 already exists. Skipping download.
[2026-01-23T16:09:49.333+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250517.1 already exists. Skipping download.
[2026-01-23T16:09:49.382+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250518.1 already exists. Skipping download.
[2026-01-23T16:09:49.412+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250519.1 already exists. Skipping download.
[2026-01-23T16:09:49.452+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250520.1 already exists. Skipping download.
[2026-01-23T16:09:49.491+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250521.1 already exists. Skipping download.
[2026-01-23T16:09:49.504+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250522.1 already exists. Skipping download.
[2026-01-23T16:09:49.515+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250523.1 already exists. Skipping download.
[2026-01-23T16:09:49.550+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250524.1 already exists. Skipping download.
[2026-01-23T16:09:49.595+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250525.1 already exists. Skipping download.
[2026-01-23T16:09:49.615+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250526.1 already exists. Skipping download.
[2026-01-23T16:09:49.633+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250527.1 already exists. Skipping download.
[2026-01-23T16:09:49.649+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250528.1 already exists. Skipping download.
[2026-01-23T16:09:49.673+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250529.1 already exists. Skipping download.
[2026-01-23T16:09:49.699+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250530.1 already exists. Skipping download.
[2026-01-23T16:09:49.722+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250531.1 already exists. Skipping download.
[2026-01-23T16:09:49.734+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250601.1 already exists. Skipping download.
[2026-01-23T16:09:49.744+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250602.1 already exists. Skipping download.
[2026-01-23T16:09:49.751+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250603.1 already exists. Skipping download.
[2026-01-23T16:09:49.757+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250604.1 already exists. Skipping download.
[2026-01-23T16:09:49.777+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250605.1 already exists. Skipping download.
[2026-01-23T16:09:49.789+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250606.1 already exists. Skipping download.
